ano link
2016 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8640.htm
2016 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8691.htm
2011 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/decreto/d7573.htm
2003 http://www.planalto.gov.br/ccivil_03/decreto/2003/d4616.htm
2004 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2004/decreto/d4981.htm
2016 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8682.htm
2007 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/decreto/d6333.htm
2002 http://www.planalto.gov.br/ccivil_03/decreto/2002/d4211.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d9775.htm
2007 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/decreto/d6064.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d9925.htm
2014 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/decreto/d8369.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3427.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d9682.htm
2004 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2004/decreto/d5016.htm
2001 http://www.planalto.gov.br/ccivil_03/decreto/2001/d3974.htm
2009 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2009/decreto/d6906.htm
2001 http://www.planalto.gov.br/ccivil_03/decreto/2001/d4040.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3387.htm
2004 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2004/decreto/d4972.htm
2017 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/decreto/d9014.htm
2014 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2014/decreto/d8264.htm
2015 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/decreto/d8487.htm
2015 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/decreto/d8409.htm
2012 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/decreto/d7677.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3612.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d10085.htm
2017 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/decreto/d9182.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d10067.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d9860.htm
2005 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/decreto/d5479.htm
2007 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2007/decreto/d6074.htm
2010 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/decreto/d7143.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d9932.htm
2010 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/decreto/d7164.htm
2008 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/decreto/d6355.htm
2004 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2004/decreto/d5266.htm
2008 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/decreto/d6616.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d9940.htm
2015 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/decreto/d8479.htm
2012 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2012/decreto/d7730.htm
2008 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/decreto/d6637.htm
2010 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/decreto/d7107.htm
2018 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9355.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d10054.htm
2006 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/decreto/d5929.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3571.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d9789.htm
2016 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8705.htm
2010 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/decreto/d7185.htm
2017 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/decreto/d9055.htm
2002 http://www.planalto.gov.br/ccivil_03/decreto/2002/d4101.htm
2011 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/decreto/d7648.htm
2018 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9490.htm
2002 http://www.planalto.gov.br/ccivil_03/decreto/2002/d4329.htm
2016 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8763.htm
2005 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/decreto/d5574.htm
2004 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2004/decreto/d5114.htm
2013 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/decreto/d7912.htm
2010 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/decreto/d7159.htm
2013 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/decreto/d7895.htm
2004 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2004/decreto/d5066.htm
2019 http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2019/decreto/d10147.htm
2013 http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2013/decreto/d8007.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3433.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3340.htm
2015 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2015/decreto/d8405.htm
2018 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/decreto/d9402.htm
2016 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2016/decreto/d8940.htm
2000 http://www.planalto.gov.br/ccivil_03/decreto/d3380.htm
2008 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/decreto/d6635.htm
2017 http://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/decreto/d9042.htm
2005 http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/decreto/d5541.htm
2010 http://www.planalto.gov.br/ccivil_03/_ato2007-2010/2010/decreto/d7316.htm
